id,date,latitude,longitude,priority,ambulance,start_time,TO_INCIDENT_duration,AT_INCIDENT_duration,TO_HOSPITAL_duration,AT_HOSPITAL_duration,TO_BASE_duration,OTHER_duration,hospital_latitude,hospital_longitude
52,2019-01-31 04:33:48.100,32.81459351221362,-117.12560792541208,,1,2019-01-31 04:33:48.100,0 days 00:02:59,0 days 00:09:39,0 days 00:03:12,0 days 00:08:29,0 days 00:01:52,0 days,32.776485,-117.09868
53,2019-01-31 04:38:27.100,32.81145164744537,-117.11344897481696,,0,2019-01-31 04:42:24.100,0 days 00:05:20,0 days 00:08:40,0 days 00:02:39,0 days 00:05:43,0 days 00:02:47,0 days,32.776485,-117.09868
54,2019-01-31 04:44:32.100,32.73814726154403,-117.1425609906196,,2,2019-01-31 04:44:32.100,0 days 00:04:26,0 days 00:05:45,0 days 00:01:02,0 days 00:07:47,0 days 00:03:39,0 days,32.736006,-117.127023
55,2019-01-31 04:48:59.100,32.78052569253855,-117.01793839331228,,4,2019-01-31 04:49:29.100,0 days 00:07:54,0 days 00:07:11,0 days 00:04:14,0 days 00:06:32,0 days 00:06:40,0 days,32.724462,-117.048276
56,2019-01-31 04:52:45.100,32.75912912853182,-117.15566671221846,,3,2019-01-31 04:54:54.100,0 days 00:02:31,0 days 00:05:53,0 days 00:02:22,0 days 00:07:48,0 days 00:03:08,0 days,32.736006,-117.127023
57,2019-01-31 04:59:03.100,32.782374920214664,-117.02790793769532,,1,2019-01-31 04:59:59.100,0 days 00:03:01,0 days 00:05:38,0 days 00:04:10,0 days 00:06:11,0 days 00:01:52,0 days,32.776485,-117.09868
58,2019-01-31 05:05:26.100,32.75606300098147,-117.09785359106834,,2,2019-01-31 05:07:11.100,0 days 00:02:56,0 days 00:09:28,0 days 00:01:21,0 days 00:05:26,0 days 00:04:16,0 days,32.776485,-117.09868
59,2019-01-31 05:09:27.100,32.782401948653586,-117.09742249669664,,0,2019-01-31 05:09:27.100,0 days 00:02:53,0 days 00:07:40,0 days 00:00:09,0 days 00:07:17,0 days 00:02:47,0 days,32.776485,-117.09868
60,2019-01-31 05:14:54.100,32.73568460808905,-117.0753453811336,,3,2019-01-31 05:16:36.100,0 days 00:04:03,0 days 00:06:02,0 days 00:02:03,0 days 00:09:05,0 days 00:05:45,0 days,32.724462,-117.048276
61,2019-01-31 05:21:48.100,32.730786900677,-117.10173805920095,,1,2019-01-31 05:21:48.100,0 days 00:04:27,0 days 00:06:29,0 days 00:01:15,0 days 00:08:03,0 days 00:05:15,0 days,32.736006,-117.127023
62,2019-01-31 05:27:50.100,32.75120472477691,-117.07565746274727,,4,2019-01-31 05:27:50.100,0 days 00:04:52,0 days 00:05:42,0 days 00:02:17,0 days 00:06:16,0 days 00:06:40,0 days,32.724462,-117.048276
63,2019-01-31 05:33:53.100,32.75852180827902,-117.01813716869478,,0,2019-01-31 05:33:53.100,0 days 00:04:09,0 days 00:07:15,0 days 00:02:57,0 days 00:08:15,0 days 00:02:33,0 days,32.724462,-117.048276
64,2019-01-31 05:40:32.100,32.79747173658125,-117.1272933707674,,2,2019-01-31 05:40:32.100,0 days 00:06:15,0 days 00:06:40,0 days 00:02:00,0 days 00:05:39,0 days 00:04:16,0 days,32.776485,-117.09868
65,2019-01-31 05:47:28.100,32.71813860710905,-117.08147751216131,,3,2019-01-31 05:47:28.100,0 days 00:04:51,0 days 00:07:59,0 days 00:02:01,0 days 00:07:26,0 days 00:05:45,0 days,32.724462,-117.048276
66,2019-01-31 05:50:35.100,32.81978353160417,-117.15912323732157,,1,2019-01-31 05:50:35.100,0 days 00:05:04,0 days 00:09:29,0 days 00:04:37,0 days 00:07:12,0 days 00:01:52,0 days,32.776485,-117.09868
67,2019-01-31 05:57:27.100,32.78127262939502,-117.05708612173864,,4,2019-01-31 05:57:27.100,0 days 00:05:50,0 days 00:06:29,0 days 00:02:21,0 days 00:09:54,0 days 00:03:31,0 days,32.776485,-117.09868
68,2019-01-31 06:02:52.100,32.791687478585715,-117.11016620552506,,0,2019-01-31 06:02:52.100,0 days 00:03:52,0 days 00:05:43,0 days 00:01:11,0 days 00:06:47,0 days 00:02:47,0 days,32.776485,-117.09868
69,2019-01-31 06:07:46.100,32.819159535351055,-117.10293218229565,,2,2019-01-31 06:07:46.100,0 days 00:07:23,0 days 00:07:21,0 days 00:02:52,0 days 00:08:22,0 days 00:04:16,0 days,32.776485,-117.09868
70,2019-01-31 06:14:24.100,32.76149980610591,-117.08518151649928,,3,2019-01-31 06:15:30.100,0 days 00:02:27,0 days 00:09:53,0 days 00:01:09,0 days 00:08:01,0 days 00:01:27,0 days,32.776485,-117.09868
